Time, Traffic ID, lidar measured x, lidar measured y 
1766666,2,-8.62338,0.887619
1800000,0,-0.259396,3.89041
1800000,1,14.1406,-4.10959
1800000,2,-8.30675,0.910536
1833333,0,-0.448047,3.86415
1833333,1,13.5631,-4.13585
1833333,2,-8.55722,0.93308
1866666,0,-0.0382226,3.84279
1866666,1,13.5834,-4.15721
1866666,2,-8.20719,0.961509
1900000,0,-0.140513,4.15401
1900000,1,13.0911,-3.84599
1900000,2,-8.36723,1.32352
1933333,0,0.254141,4.28792
1933333,1,13.0952,-3.71208
1933333,2,-8.02829,1.50922
1966666,0,0.853664,3.85021
1966666,1,13.3037,-4.14979
1966666,2,-7.48244,1.12428
2000000,0,0.948109,4.01662
2000000,1,13.0064,-3.98338
2000000,2,-7.43963,1.34447
2033333,0,1.19544,4.06877
2033333,1,12.8615,-3.93123
2033333,2,-7.2419,1.45139
2066666,0,1.14784,4.1182
2066666,1,12.4212,-3.8818
2066666,2,-7.33706,1.55658
2100000,0,1.24493,3.96838
2100000,1,12.1249,-4.03162
2100000,2,-7.2855,1.46353
2133333,0,1.47826,3.87238
2133333,1,11.9644,-4.12762
2133333,2,-7.09565,1.42529
2166666,0,1.39018,4.02792
2166666,1,11.4818,-3.97208
2166666,2,-7.22519,1.63959
2200000,0,2.03795,4.10781
2200000,1,11.7346,-3.89219
2200000,2,-6.61683,1.77923
2233333,0,2.24395,4.12628
2233333,1,11.5456,-3.86992
2233333,2,-6.44761,1.86225
2266666,0,1.81782,4.18835
2266666,1,10.7247,-3.80025
2266666,2,-6.90782,1.99366
2300000,0,2.38812,3.97753
2300000,1,10.9003,-3.99967
2300000,2,-6.36882,1.85698
2333333,0,2.98794,3.62528
2333333,1,11.1057,-4.33672
2333333,2,-5.79745,1.58366
2366666,0,2.73084,4.23528
2366666,1,10.4545,-3.70773
2366666,2,-6.08006,2.27738
2400000,0,3.05667,3.67379
2400000,1,10.3867,-4.24646
2400000,2,-5.77676,1.80437
2433333,0,2.92045,3.77474
2433333,1,9.85729,-4.11898
2433333,2,-5.93242,1.99858
2466666,0,3.55431,3.9614
2466666,1,10.0985,-3.90202
2466666,2,-5.31486,2.28325
2500000,0,3.6913,3.75454
2500000,1,9.8435,-4.07483
2500000,2,-5.19095,2.17916
2533333,0,3.9544,3.81685
2533333,1,9.71529,-3.97474
2533333,2,-4.93764,2.34895
2566666,0,4.17302,3.8808
2566666,1,9.54338,-3.86928
2566666,2,-4.72544,2.52512
2600000,0,4.44928,3.49659
2600000,1,9.42996,-4.20827
2600000,2,-4.45215,2.25783
2633333,0,4.92036,3.52861
2633333,1,9.51227,-4.12736
2633333,2,-3.98054,2.41144
2666666,0,4.71954,3.56825
2666666,1,8.92367,-4.03514
2666666,2,-4.17725,2.57736
2700000,0,4.8336,3.36677
2700000,1,8.65101,-4.18039
2700000,2,-4.05543,2.5068
2733333,0,4.97958,3.68676
2733333,1,8.41141,-3.80054
2733333,2,-3.89795,2.96233
2766666,0,5.34783,3.57759
2766666,1,8.39528,-3.84624
2766666,2,-3.51441,2.9933
2800000,0,5.40374,3.19062
2800000,1,8.06807,-4.16617
2800000,2,-3.43936,2.75106
2833333,0,5.73884,3.26877
2833333,1,8.0214,-4.01741
2833333,2,-3.08117,2.97849
2866666,0,5.65596,3.55021
2866666,1,7.55817,-3.66184
2866666,2,-3.13695,3.41373
2900000,0,5.76171,3.18381
2900000,1,7.28504,-3.95059
2900000,2,-3.00003,3.20564
2933333,0,5.82627,2.96213
2933333,1,6.97226,-4.09116
2933333,2,-2.90017,3.14673
2966666,0,6.08102,3.06284
2966666,1,6.85131,-3.9059
2966666,2,-2.6059,3.41465
3000000,0,6.08236,2.98174
3000000,1,6.47861,-3.89903
3000000,2,-2.56077,3.50517
3033333,0,6.45617,2.79908
3033333,1,6.48014,-3.99035
3033333,2,-2.13883,3.4985
3066666,0,6.88654,2.44257
3066666,1,6.54003,-4.25217
3066666,2,-1.65592,3.32232
3100000,0,6.92922,2.59753
3100000,1,6.21413,-3.99922
3100000,2,-1.55623,3.6619
3133333,0,7.21073,2.57397
3133333,1,6.12899,-3.92153
3133333,2,-1.21317,3.82723
3166666,0,7.42156,2.31111
3166666,1,5.97517,-4.07989
3166666,2,-0.9362,3.7575
3200000,0,7.47603,2.10533
3200000,1,5.66707,-4.178
3200000,2,-0.810918,3.74902
3233333,0,7.52725,2.05604
3233333,1,5.35785,-4.11645
3233333,2,-0.677403,3.87039
3266666,0,7.55888,1.95666
3266666,1,5.03122,-4.1019
3266666,2,-0.555731,3.91405
3300000,0,7.84343,1.98987
3300000,1,4.95978,-3.95169
3300000,2,-0.177182,4.06217
3333333,0,7.98424,1.98624
3333333,1,4.74234,-3.84139
3333333,2,0.05759,4.17037
3366666,0,8.43231,1.65903
3366666,1,4.82996,-4.05776
3366666,2,0.599646
